num_conta,cod_cliente,cod_agencia,cod_colaborador,tipo_conta,data_abertura,saldo_total,saldo_disponivel,data_ultimo_lancamento,ano_ultimo_lancamento,,,,,,,,,,,
954,954,1,13,PF,2012-04-15 10:23:00 UTC,35545.0322,34545.62,2020-03-22 02:59:42 UTC,2020,,,,,<=2021,209,"""Inativos""",,,,
955,955,1,13,PF,2020-03-28 14:02:00 UTC,79502.0688,80952.72,2022-06-04 07:26:23 UTC,2022,Porcentagem da agencia 7 em relação ao total,,,,,,,,,,
170,170,1,14,PF,2022-12-15 16:01:00 UTC,926.7056,335.38,2023-01-11 09:04:20.2749 UTC,2023,50%,,,,,,,,,,
218,218,1,14,PF,2019-10-01 16:05:00 UTC,180027.6926,168407.88,2022-09-09 10:51:55 UTC,2022,,,,,,,,,,,
555,555,1,14,PF,2012-08-24 12:57:00 UTC,52691.5446,54240.69,2019-04-01 21:41:58 UTC,2019,,,,,,,,,,,
741,741,1,14,PF,2012-03-03 14:17:00 UTC,91849.8746,83480.04,2020-11-17 22:35:58 UTC,2020,,,,,,,,,,,
751,751,1,14,PF,2012-01-13 12:29:00 UTC,59.7503,44.86,2022-07-17 17:25:28 UTC,2022,,,,,,,,,,,
953,953,1,14,PF,2015-06-11 15:05:00 UTC,1866.7326,1827.75,2022-12-29 23:59:59.106764 UTC,2022,,,,,,,,,,,
108,108,1,23,PF,2017-04-13 12:21:00 UTC,1171.4528,812.56,2022-12-29 23:59:59.646511 UTC,2022,Total de Clientes do banco,Total de Clientes Digitais,Porcentagem de clientes de Agencias Digitais,,,,,,,,
110,110,1,23,PF,2020-06-19 16:06:00 UTC,11059.7616,10208.05,2022-12-30 00:00:00.199407 UTC,2022,999,460,46%,,,,,,,,
242,242,1,23,PF,2010-05-06 14:03:00 UTC,165102.0639,163409.68,2019-08-09 23:42:11 UTC,2019,,,,,,,,,,,
528,528,1,23,PF,2013-08-15 14:41:00 UTC,7243.5916,7380.67,2018-09-04 03:56:17 UTC,2018,,,,,,,,,,,
844,844,1,23,PF,2022-09-19 12:48:00 UTC,20803.9404,20373.14,2022-12-29 23:59:59.639046 UTC,2022,,,,,,,,,,,
888,888,1,23,PF,2016-04-13 11:01:00 UTC,91067.6766,87609.82,2021-05-22 22:18:09 UTC,2021,,,,,,,,,,,
171,171,1,24,PF,2022-03-04 16:24:00 UTC,68520.0599,66507.14,2022-12-30 00:00:00.7855 UTC,2022,,,,,,,,,,,
291,291,1,24,PF,2012-02-26 12:34:00 UTC,40641.1236,41016.2,2022-12-08 08:47:13 UTC,2022,,,,,,,,,,,
481,481,1,24,PF,2020-04-14 16:19:00 UTC,86.2785,74.53,2022-11-20 16:50:25 UTC,2022,,,,,,,,,,,
564,564,1,24,PF,2015-05-20 11:34:00 UTC,20584.6942,19955.3,2017-07-18 11:54:24 UTC,2017,,,,,,,,,,,
584,584,1,24,PF,2014-11-07 11:59:00 UTC,1658.1686,1592.7,2019-08-27 12:10:09 UTC,2019,,,,,,,,,,,
635,635,1,24,PF,2022-09-12 15:38:00 UTC,1534.5565,1252.55,2022-12-30 00:00:00.33746 UTC,2022,,,,,,,,,,,
116,116,1,30,PF,2014-10-17 13:19:00 UTC,20992.1828,20458.98,2022-08-12 12:32:52 UTC,2022,,,,,,,,,,,
153,153,1,30,PF,2014-09-12 16:45:00 UTC,14581.8981,14679.19,2019-05-05 14:56:38 UTC,2019,,,,,,,,,,,
176,176,1,30,PF,2019-04-20 14:06:00 UTC,14244.9266,12934.41,2020-12-19 13:15:50 UTC,2020,,,,,,,,,,,
199,199,1,30,PF,2019-01-10 12:24:00 UTC,92338.3146,94200.58,2022-12-29 23:37:56 UTC,2022,,,,,,,,,,,
207,207,1,30,PF,2022-06-24 16:07:00 UTC,13029.2448,52.13,2022-12-30 00:00:00.621813 UTC,2022,,,,,,,,,,,
275,275,1,30,PF,2020-05-02 12:18:00 UTC,51431.9484,52418.24,2022-12-30 00:00:00.087069 UTC,2022,,,,,,,,,,,
361,361,1,30,PF,2018-01-08 14:30:00 UTC,16828.8288,17483.74,2022-09-28 23:25:00 UTC,2022,,,,,,,,,,,
701,701,1,30,PF,2013-02-24 10:46:00 UTC,53.4997,37.57,2020-03-30 08:05:11 UTC,2020,,,,,,,,,,,
808,808,1,30,PF,2013-08-08 14:43:00 UTC,33978.8295,32308.15,2022-04-21 18:11:48 UTC,2022,,,,,,,,,,,
910,910,1,30,PF,2011-11-03 16:42:00 UTC,38140.179,38894.44,2018-11-01 23:32:33 UTC,2018,,,,,,,,,,,
290,290,1,31,PF,2016-02-19 12:30:00 UTC,10809.2902,8075.48,2022-12-29 23:59:59.668206 UTC,2022,,,,,,,,,,,
451,451,1,31,PF,2011-08-25 11:33:00 UTC,14880.7296,15408.8,2013-08-31 23:35:07 UTC,2013,,,,,,,,,,,
557,557,1,31,PF,2017-12-09 12:29:00 UTC,2841.344,2543.82,2022-12-29 23:56:57 UTC,2022,,,,,,,,,,,
617,617,1,31,PF,2016-02-17 11:37:00 UTC,28163.42,28107.84,2017-10-26 19:24:41 UTC,2017,,,,,,,,,,,
632,632,1,31,PF,2017-07-25 16:41:00 UTC,15022.8006,14852.3,2022-12-29 23:59:59.732522 UTC,2022,,,,,,,,,,,
740,740,1,31,PF,2019-11-12 12:14:00 UTC,788.5976,697.98,2022-12-29 23:50:54 UTC,2022,,,,,,,,,,,
134,134,1,34,PF,2013-06-11 11:41:00 UTC,19285.3,19263.65,2017-06-15 07:46:25 UTC,2017,,,,,,,,,,,
410,410,1,34,PF,2019-04-22 13:24:00 UTC,2612.7907,2608.29,2022-12-30 00:00:00.675814 UTC,2022,,,,,,,,,,,
429,429,1,34,PF,2015-05-28 15:38:00 UTC,7184.0232,5418.26,2022-12-30 00:00:00.433124 UTC,2022,,,,,,,,,,,
496,496,1,34,PF,2020-02-27 12:50:00 UTC,18.425,78.95,2022-12-30 00:00:00.869078 UTC,2022,,,,,,,,,,,
631,631,1,34,PF,2010-12-10 15:06:00 UTC,21223.4496,22164.99,2014-05-25 15:37:54 UTC,2014,,,,,,,,,,,
878,878,1,34,PF,2012-05-16 14:13:00 UTC,32869.202,34449.17,2021-05-13 20:48:23 UTC,2021,,,,,,,,,,,
6,6,1,42,PF,2010-03-09 12:09:00 UTC,14236.2664,13407.48,2016-10-02 22:42:28 UTC,2016,,,,,,,,,,,
620,620,1,42,PF,2010-06-21 16:42:00 UTC,29814.9465,28876.55,2014-01-29 19:49:43 UTC,2014,,,,,,,,,,,
714,714,1,42,PF,2015-06-18 11:20:00 UTC,48216.74,43787.36,2020-07-12 04:06:16 UTC,2020,,,,,,,,,,,
877,877,1,42,PF,2013-02-11 11:31:00 UTC,125716.2786,126887.95,2019-05-21 20:49:47 UTC,2019,,,,,,,,,,,
286,286,1,58,PF,2021-07-12 12:27:00 UTC,3985.9046,2427.58,2022-12-29 23:52:25 UTC,2022,,,,,,,,,,,
559,559,1,58,PF,2011-02-05 14:40:00 UTC,31372.237,29533.51,2022-12-30 00:00:00.049372 UTC,2022,,,,,,,,,,,
911,911,1,58,PF,2011-09-22 12:17:00 UTC,3545.664,3563.2,2022-12-29 23:59:59.851741 UTC,2022,,,,,,,,,,,
40,40,1,62,PF,2015-04-14 14:50:00 UTC,461.351,164.31,2022-12-29 23:59:59.352027 UTC,2022,,,,,,,,,,,
90,90,1,62,PF,2014-05-15 13:06:00 UTC,109727.882,99717.27,2015-12-25 21:14:30 UTC,2015,,,,,,,,,,,
93,93,1,62,PF,2021-10-27 11:09:00 UTC,354.4128,270.18,2022-12-29 23:59:59.036565 UTC,2022,,,,,,,,,,,
147,147,1,62,PF,2014-08-14 14:32:00 UTC,42405.9492,41516.75,2015-11-13 17:37:41 UTC,2015,,,,,,,,,,,
486,486,1,62,PF,2015-04-23 13:18:00 UTC,197.3625,155.72,2022-12-29 22:47:31 UTC,2022,,,,,,,,,,,
501,501,1,62,PF,2018-06-20 14:51:00 UTC,232815.792,211636.04,2022-12-30 00:00:00.468941 UTC,2022,,,,,,,,,,,
670,670,1,62,PF,2022-10-25 14:11:00 UTC,42711.7619,41331.12,2022-12-30 00:00:00.718266 UTC,2022,,,,,,,,,,,
735,735,1,62,PF,2012-12-03 13:05:00 UTC,72474.2316,67091.37,2021-04-25 23:19:48 UTC,2021,,,,,,,,,,,
805,805,1,62,PF,2011-05-08 14:35:00 UTC,4438.5408,4510.78,2022-12-30 00:00:00.828982 UTC,2022,,,,,,,,,,,
19,19,1,67,PF,2019-10-05 13:24:00 UTC,2615.316,2364.85,2022-12-29 23:59:59.115282 UTC,2022,,,,,,,,,,,
106,106,1,67,PF,2010-08-14 15:55:00 UTC,68269.508,71851.76,2020-09-28 20:33:20 UTC,2020,,,,,,,,,,,
146,146,1,67,PF,2010-06-27 10:33:00 UTC,10975.1911,11304.7,2014-03-23 07:15:00 UTC,2014,,,,,,,,,,,
154,154,1,67,PF,2013-10-14 11:46:00 UTC,81928.2464,78745.64,2018-05-10 18:30:26 UTC,2018,,,,,,,,,,,
198,198,1,67,PF,2016-09-09 11:33:00 UTC,7893.0176,7802.34,2022-12-29 22:42:22 UTC,2022,,,,,,,,,,,
200,200,1,67,PF,2015-05-17 10:24:00 UTC,3503.06,2941.5,2022-12-26 07:35:44 UTC,2022,,,,,,,,,,,
260,260,1,67,PF,2013-10-22 14:33:00 UTC,23435.3943,22294.71,2022-06-06 17:43:44 UTC,2022,,,,,,,,,,,
347,347,1,67,PF,2011-02-03 16:40:00 UTC,83141.2355,87482.3,2015-05-01 04:58:44 UTC,2015,,,,,,,,,,,
357,357,1,67,PF,2021-07-12 15:17:00 UTC,71.3889,21.4,2022-12-30 00:00:00.925889 UTC,2022,,,,,,,,,,,
497,497,1,67,PF,2021-10-25 16:18:00 UTC,44788.254,45546.6,2022-12-29 23:59:59.201726 UTC,2022,,,,,,,,,,,
598,598,1,67,PF,2015-02-09 13:15:00 UTC,6940.7316,6722.36,2022-12-30 00:00:00.545758 UTC,2022,,,,,,,,,,,
715,715,1,67,PF,2018-12-20 16:17:00 UTC,27057.1463,23267.77,2022-12-30 00:00:00.415793 UTC,2022,,,,,,,,,,,
925,925,1,67,PF,2014-07-10 14:52:00 UTC,7854.3036,7813.65,2022-12-29 22:10:15 UTC,2022,,,,,,,,,,,
68,68,1,72,PF,2019-08-11 11:02:00 UTC,66.6912,54.72,2022-12-29 23:59:59.607906 UTC,2022,,,,,,,,,,,
195,195,1,72,PF,2011-03-08 13:26:00 UTC,28846.584,27711.57,2015-04-03 11:22:27 UTC,2015,,,,,,,,,,,
280,280,1,72,PF,2017-04-20 14:07:00 UTC,14666.5204,13614.04,2022-09-20 20:09:54 UTC,2022,,,,,,,,,,,
284,284,1,72,PF,2020-02-18 13:51:00 UTC,42994.116,43554.03,2022-12-29 22:10:49 UTC,2022,,,,,,,,,,,
604,604,1,72,PF,2022-03-20 16:32:00 UTC,66821.9905,68837.85,2022-12-29 23:59:59.290722 UTC,2022,,,,,,,,,,,
697,697,1,72,PF,2013-01-24 12:46:00 UTC,1323.399,1185.81,2016-09-14 12:33:25 UTC,2016,,,,,,,,,,,
831,831,1,72,PF,2016-01-22 11:28:00 UTC,32572.5758,31390.16,2022-12-29 23:57:40 UTC,2022,,,,,,,,,,,
141,141,1,77,PF,2012-05-10 13:49:00 UTC,8239.7997,8311.67,2015-02-25 00:30:47 UTC,2015,,,,,,,,,,,
208,208,1,77,PF,2013-05-12 13:48:00 UTC,99593.4702,101572.38,2016-07-29 15:49:35 UTC,2016,,,,,,,,,,,
382,382,1,77,PF,2010-02-02 14:28:00 UTC,6992.42,6935.26,2017-02-22 12:18:12 UTC,2017,,,,,,,,,,,
431,431,1,77,PF,2013-11-20 11:12:00 UTC,31323.3327,31597.66,2019-04-02 12:38:44 UTC,2019,,,,,,,,,,,
574,574,1,77,PF,2014-03-05 16:10:00 UTC,11612.546,10535.63,2022-07-03 23:00:19 UTC,2022,,,,,,,,,,,
684,684,1,77,PF,2020-03-14 11:55:00 UTC,14568.4951,14689.17,2022-12-30 00:00:00.317437 UTC,2022,,,,,,,,,,,
717,717,1,77,PF,2015-02-21 12:48:00 UTC,30082.0032,29273.68,2020-02-21 02:00:45 UTC,2020,,,,,,,,,,,
892,892,1,77,PF,2015-08-05 12:19:00 UTC,8397.36,7660.12,2019-05-25 15:09:19 UTC,2019,,,,,,,,,,,
145,145,1,79,PF,2011-03-03 13:41:00 UTC,69766.7927,65137.83,2020-10-03 14:06:51 UTC,2020,,,,,,,,,,,
152,152,1,79,PF,2017-07-01 14:56:00 UTC,68.442,16.22,2022-12-29 23:59:59.386084 UTC,2022,,,,,,,,,,,
258,258,1,79,PF,2011-08-21 14:49:00 UTC,14823.2112,14252.92,2022-05-06 12:23:37 UTC,2022,,,,,,,,,,,
293,293,1,79,PF,2018-10-14 12:48:00 UTC,34326.8046,33578.19,2022-10-29 02:01:59 UTC,2022,,,,,,,,,,,
473,473,1,79,PF,2016-01-02 10:15:00 UTC,50851.2339,49224.08,2020-10-04 09:33:03 UTC,2020,,,,,,,,,,,
567,567,1,79,PF,2011-05-16 10:17:00 UTC,31479.6024,29103.95,2015-09-15 11:33:09 UTC,2015,,,,,,,,,,,
758,758,1,79,PF,2014-12-25 13:17:00 UTC,62228.87,56551.49,2019-09-19 03:25:22 UTC,2019,,,,,,,,,,,
875,875,1,79,PF,2015-01-18 15:07:00 UTC,33365.1507,30866.63,2022-12-29 23:55:10 UTC,2022,,,,,,,,,,,
989,989,1,79,PF,2021-11-25 14:47:00 UTC,754.614,577.4,2022-12-29 23:59:55 UTC,2022,,,,,,,,,,,
119,119,1,83,PF,2020-01-14 10:20:00 UTC,27043.2783,26165.99,2022-10-26 06:36:27 UTC,2022,,,,,,,,,,,
186,186,1,83,PF,2022-02-21 15:05:00 UTC,164.7086,134.2,2022-12-30 00:00:00.56732 UTC,2022,,,,,,,,,,,
231,231,1,83,PF,2012-06-25 11:43:00 UTC,52988.9972,49969.3,2017-02-09 11:55:11 UTC,2017,,,,,,,,,,,
232,232,1,83,PF,2013-11-27 16:57:00 UTC,117243.3034,110336.89,2020-07-24 08:10:00 UTC,2020,,,,,,,,,,,
243,243,1,83,PF,2017-04-01 14:23:00 UTC,15640.93,16447.33,2022-10-24 13:33:00 UTC,2022,,,,,,,,,,,
331,331,1,83,PF,2012-09-22 16:29:00 UTC,15569.4227,15030.97,2022-12-29 23:59:59.268198 UTC,2022,,,,,,,,,,,
602,602,1,83,PF,2018-10-24 13:07:00 UTC,10115.9681,9667.71,2021-02-19 04:34:16 UTC,2021,,,,,,,,,,,
671,671,1,83,PF,2021-08-09 16:15:00 UTC,8075.952,7551.61,2022-12-30 00:00:00.918448 UTC,2022,,,,,,,,,,,
804,804,1,83,PF,2011-12-06 13:00:00 UTC,58103.9634,56919.71,2016-11-04 11:52:28 UTC,2016,,,,,,,,,,,
927,927,1,83,PF,2011-08-15 14:48:00 UTC,34239.2648,33034.49,2013-02-06 13:38:57 UTC,2013,,,,,,,,,,,
938,938,1,83,PF,2016-12-12 12:27:00 UTC,167.2076,116.36,2022-12-29 23:59:59.245727 UTC,2022,,,,,,,,,,,
42,42,2,12,PF,2013-04-12 12:10:00 UTC,27615.72,27609.02,2022-01-19 04:26:03 UTC,2022,,,,,,,,,,,
185,185,2,12,PF,2011-03-23 14:06:00 UTC,403.0493,393.62,2021-03-04 19:53:30 UTC,2021,,,,,,,,,,,
415,415,2,12,PF,2015-06-09 14:03:00 UTC,66837.7112,64200.64,2022-12-30 00:00:00.397829 UTC,2022,,,,,,,,,,,
504,504,2,12,PF,2015-04-22 14:18:00 UTC,45917.3583,46241.17,2022-12-29 22:39:57 UTC,2022,,,,,,,,,,,
548,548,2,12,PF,2021-05-24 12:19:00 UTC,51462.004,47060.44,2022-12-29 23:59:59.281558 UTC,2022,,,,,,,,,,,
23,23,2,15,PF,2012-12-06 10:38:00 UTC,19605.4353,19299.27,2022-12-29 23:58:10 UTC,2022,,,,,,,,,,,
55,55,2,15,PF,2016-11-10 14:25:00 UTC,353.7644,322.26,2022-12-30 00:00:00.379315 UTC,2022,,,,,,,,,,,
85,85,2,15,PF,2010-10-04 13:19:00 UTC,55114.8674,10769.58,2022-12-11 09:49:24 UTC,2022,,,,,,,,,,,
138,138,2,15,PF,2018-04-06 10:08:00 UTC,230.1324,116.05,2022-12-29 23:59:59.356948 UTC,2022,,,,,,,,,,,
188,188,2,15,PF,2022-11-12 14:02:00 UTC,10111.0613,9159.69,2022-12-30 00:00:00.476412 UTC,2022,,,,,,,,,,,
432,432,2,15,PF,2011-04-27 12:38:00 UTC,122319.3784,115048.84,2022-12-29 23:59:59.49324 UTC,2022,,,,,,,,,,,
455,455,2,15,PF,2017-08-24 10:26:00 UTC,1440.9512,1268.5,2020-11-08 17:27:02 UTC,2020,,,,,,,,,,,
517,517,2,15,PF,2020-12-11 15:57:00 UTC,62271.8175,64049.89,2022-12-29 23:59:59.977786 UTC,2022,,,,,,,,,,,
545,545,2,15,PF,2019-12-16 10:22:00 UTC,20510.2156,20524.46,2022-12-29 23:59:59.94329 UTC,2022,,,,,,,,,,,
621,621,2,15,PF,2015-03-11 11:29:00 UTC,52509.98,52048.08,2022-10-12 01:15:42 UTC,2022,,,,,,,,,,,
762,762,2,15,PF,2022-09-15 14:36:00 UTC,28104.6,27974.6,2022-12-29 23:59:59.911482 UTC,2022,,,,,,,,,,,
168,168,2,22,PF,2012-12-20 16:11:00 UTC,35959.305,37827.96,2022-07-06 14:23:09 UTC,2022,,,,,,,,,,,
456,456,2,22,PF,2014-02-12 15:54:00 UTC,25.758,12.04,2022-04-04 19:19:19 UTC,2022,,,,,,,,,,,
505,505,2,22,PF,2013-07-27 13:47:00 UTC,209128.926,191520.6,2022-10-19 20:01:15 UTC,2022,,,,,,,,,,,
566,566,2,22,PF,2013-11-11 12:53:00 UTC,5737.688,5160.79,2018-03-26 15:13:17 UTC,2018,,,,,,,,,,,
666,666,2,22,PF,2015-07-27 15:03:00 UTC,47389.7522,48308.97,2020-02-25 11:30:30 UTC,2020,,,,,,,,,,,
750,750,2,22,PF,2012-05-05 11:32:00 UTC,3848.6884,3727.02,2022-12-25 16:58:54 UTC,2022,,,,,,,,,,,
768,768,2,22,PF,2019-04-22 14:34:00 UTC,44919.126,42951.12,2022-12-29 23:55:59 UTC,2022,,,,,,,,,,,
14,14,2,28,PF,2014-08-26 14:14:00 UTC,3923.4096,3491.48,2022-12-30 00:00:00.698664 UTC,2022,,,,,,,,,,,
45,45,2,28,PF,2015-10-19 14:51:00 UTC,15400.831,13450.8,2021-06-10 00:38:31 UTC,2021,,,,,,,,,,,
221,221,2,28,PF,2016-08-16 13:42:00 UTC,2058.9816,2677.19,2022-12-28 18:28:44 UTC,2022,,,,,,,,,,,
534,534,2,28,PF,2015-01-25 16:56:00 UTC,32217.0048,33477.58,2022-12-29 22:53:27 UTC,2022,,,,,,,,,,,
799,799,2,28,PF,2021-05-24 11:29:00 UTC,128.3257,7.34,2022-12-30 00:00:00.146195 UTC,2022,,,,,,,,,,,
841,841,2,28,PF,2020-04-16 16:11:00 UTC,35333.4624,36788.9,2022-12-28 23:54:25 UTC,2022,,,,,,,,,,,
896,896,2,28,PF,2018-06-19 14:13:00 UTC,36968.3095,39530.31,2022-12-29 23:59:59.122591 UTC,2022,,,,,,,,,,,
915,915,2,28,PF,2018-12-25 12:03:00 UTC,12410.458,12940.12,2022-10-01 08:38:58 UTC,2022,,,,,,,,,,,
945,945,2,28,PF,2016-05-10 13:56:00 UTC,48981.1509,49096.21,2022-12-03 14:04:20 UTC,2022,,,,,,,,,,,
435,435,2,46,PF,2011-02-02 11:14:00 UTC,41480.0435,40881.44,2019-06-30 20:38:23 UTC,2019,,,,,,,,,,,
616,616,2,46,PF,2017-08-04 10:47:00 UTC,16991.0208,15969.62,2022-12-29 23:59:59.913155 UTC,2022,,,,,,,,,,,
661,661,2,46,PF,2013-09-11 13:40:00 UTC,19.3321,5.35,2022-12-29 23:59:56 UTC,2022,,,,,,,,,,,
664,664,2,46,PF,2017-11-12 15:21:00 UTC,17796.9804,17333.02,2022-12-30 00:00:00.689084 UTC,2022,,,,,,,,,,,
667,667,2,46,PF,2022-03-06 15:06:00 UTC,987.982,760.39,2022-12-30 00:00:00.112756 UTC,2022,,,,,,,,,,,
766,766,2,46,PF,2014-09-07 13:15:00 UTC,271.7449,334.31,2022-12-29 23:59:59.641 UTC,2022,,,,,,,,,,,
821,821,2,46,PF,2012-03-12 12:31:00 UTC,38099.7,37024.01,2016-02-26 14:02:42 UTC,2016,,,,,,,,,,,
36,36,2,56,PF,2012-02-17 15:58:00 UTC,41929.7528,40313.21,2022-12-29 23:59:54 UTC,2022,,,,,,,,,,,
46,46,2,56,PF,2011-06-04 11:10:00 UTC,47538.624,151644.4,2016-09-08 06:26:30 UTC,2016,,,,,,,,,,,
277,277,2,56,PF,2013-06-09 12:38:00 UTC,1408.3784,1263.39,2017-10-07 06:48:39 UTC,2017,,,,,,,,,,,
375,375,2,56,PF,2019-06-22 15:56:00 UTC,13593.815,12657.9,2022-12-29 23:59:59.227118 UTC,2022,,,,,,,,,,,
495,495,2,56,PF,2015-07-02 11:07:00 UTC,29290.9448,28153.49,2022-12-30 00:00:00.823395 UTC,2022,,,,,,,,,,,
539,539,2,56,PF,2011-04-21 10:58:00 UTC,17405.556,16455.88,2015-09-25 11:33:15 UTC,2015,,,,,,,,,,,
744,744,2,56,PF,2012-03-21 11:46:00 UTC,4711.0281,5493.63,2021-10-01 18:38:52 UTC,2021,,,,,,,,,,,
774,774,2,56,PF,2018-07-11 14:52:00 UTC,206361.4035,196440.97,2022-12-29 23:56:56 UTC,2022,,,,,,,,,,,
903,903,2,56,PF,2020-08-16 11:05:00 UTC,83936.2788,84439.77,2022-03-13 19:41:29 UTC,2022,,,,,,,,,,,
930,930,2,56,PF,2018-04-03 11:06:00 UTC,16311.09,8241.09,2022-12-18 12:54:26 UTC,2022,,,,,,,,,,,
62,62,2,57,PF,2010-12-02 12:14:00 UTC,6662.3181,6390.18,2020-06-28 21:08:18 UTC,2020,,,,,,,,,,,
73,73,2,57,PF,2012-06-21 14:25:00 UTC,2612.7198,2439.85,2017-05-21 09:14:01 UTC,2017,,,,,,,,,,,
94,94,2,57,PF,2011-09-09 15:00:00 UTC,34545.9555,33166.61,2022-12-30 00:00:00.138357 UTC,2022,,,,,,,,,,,
175,175,2,57,PF,2015-12-17 14:44:00 UTC,1931.369,1744.86,2018-05-18 21:30:15 UTC,2018,,,,,,,,,,,
333,333,2,57,PF,2019-12-03 13:34:00 UTC,398.6604,263.32,2022-12-29 23:59:59.673776 UTC,2022,,,,,,,,,,,
677,677,2,57,PF,2018-01-15 11:14:00 UTC,39346.5306,38525.41,2022-07-12 17:02:07 UTC,2022,,,,,,,,,,,
760,760,2,57,PF,2013-04-27 10:08:00 UTC,20116.3968,20875.57,2015-06-05 12:29:59 UTC,2015,,,,,,,,,,,
801,801,2,57,PF,2019-09-27 15:29:00 UTC,34040.2118,34583.48,2022-12-29 23:59:59.136427 UTC,2022,,,,,,,,,,,
905,905,2,57,PF,2013-03-04 12:38:00 UTC,18219.1695,17267.95,2016-08-05 23:19:11 UTC,2016,,,,,,,,,,,
990,990,2,57,PF,2020-01-23 16:28:00 UTC,6317.2512,6536.31,2021-09-25 07:50:51 UTC,2021,,,,,,,,,,,
26,26,2,63,PF,2012-08-12 16:34:00 UTC,10388.7792,10032.94,2021-02-13 04:38:56 UTC,2021,,,,,,,,,,,
51,51,2,63,PF,2022-01-18 14:52:00 UTC,330.5536,305.04,2022-12-29 23:59:59.330763 UTC,2022,,,,,,,,,,,
140,140,2,63,PF,2015-02-10 13:47:00 UTC,140807.6754,117253.54,2022-12-29 23:59:59.367528 UTC,2022,,,,,,,,,,,
235,235,2,63,PF,2018-06-01 13:05:00 UTC,114315.5104,109905.99,2021-09-09 05:16:59 UTC,2021,,,,,,,,,,,
383,383,2,63,PF,2017-01-24 13:00:00 UTC,38945.7408,40234.88,2018-06-24 03:58:10 UTC,2018,,,,,,,,,,,
633,633,2,63,PF,2011-05-08 13:51:00 UTC,16.7993,0.6,2018-08-30 03:58:32 UTC,2018,,,,,,,,,,,
4,4,2,65,PF,2017-04-06 12:28:00 UTC,184007.862,170283.25,2022-11-12 11:50:05 UTC,2022,,,,,,,,,,,
27,27,2,65,PF,2022-05-10 12:29:00 UTC,263.7312,228.68,2022-12-30 00:00:00.767904 UTC,2022,,,,,,,,,,,
95,95,2,65,PF,2021-09-22 15:00:00 UTC,176.3055,253.21,2022-12-29 23:59:59.772328 UTC,2022,,,,,,,,,,,
11,11,2,69,PF,2010-11-12 16:37:00 UTC,8749.8088,8414.48,2022-12-29 23:59:56 UTC,2022,,,,,,,,,,,
177,177,2,69,PF,2022-10-15 16:31:00 UTC,12129.6075,12439.49,2022-12-29 23:59:59.932063 UTC,2022,,,,,,,,,,,
244,244,2,69,PF,2012-04-20 13:36:00 UTC,22751.9893,22071.15,2022-12-24 02:19:53 UTC,2022,,,,,,,,,,,
251,251,2,69,PF,2013-07-11 14:28:00 UTC,8907.738,8346.63,2021-09-05 04:36:19 UTC,2021,,,,,,,,,,,
468,468,2,69,PF,2021-08-27 13:19:00 UTC,10007.8972,10124.27,2022-12-30 00:00:00.468061 UTC,2022,,,,,,,,,,,
533,533,2,69,PF,2021-08-09 12:39:00 UTC,26541.7725,24783.65,2022-12-29 23:59:59.604072 UTC,2022,,,,,,,,,,,
