cod_cliente,primeiro_nome,ultimo_nome,email,tipo_cliente,data_inclusao,cpfcnpj,data_nascimento,endereco,cep,Quantidades de Tipos de Clientes
991,Luiz Miguel,Alves,luana66@example.com,PF,2019-02-14 13:36:00 UTC,587.609.124-30,10/26/1964,"Chácara de Moreira, 60 Olaria 22714-326 Ribeiro da Mata / AM",86294-895,
90,João,Costa,nina62@example.com,PF,2014-05-15 13:06:00 UTC,926.057.138-30,8/21/1947,"Feira de Teixeira, 4 Laranjeiras 89122-999 Pires / SP",38071-009,
233,Catarina,Costa,joao-felipecorreia@example.org,PF,2014-12-02 14:14:00 UTC,603.751.829-77,12/3/1961,"Passarela de da Conceição, 2 Centro 93490-179 Moraes de Oliveira / AL",38180255,
356,Cecília,Costa,emilly14@example.org,PF,2014-01-13 11:30:00 UTC,092.813.567-59,11/13/1950,Lago de Jesus Esperança 91251916 da Cruz / SP,89813224,
493,Laís,Costa,silveiralavinia@example.com,PF,2017-12-19 16:53:00 UTC,867.402.159-01,5/8/1992,Parque Moura Parque São José 91515-389 Nascimento / MG,98259-386,
676,Maria Vitória,Costa,rochanina@example.org,PF,2016-04-25 15:44:00 UTC,182.954.037-88,11/10/1955,"Jardim da Rocha, 65 Minaslandia 48773387 Araújo / BA",67484257,
890,Maysa,Costa,ida-rosa@example.org,PF,2013-12-11 14:23:00 UTC,286.903.175-03,6/17/2001,"Colônia Ferreira, 1 Suzana 76789911 Gomes da Praia / MT",07873-123,
957,Beatriz,Costa,nascimentobruno@example.org,PF,2020-08-10 15:07:00 UTC,627.983.405-00,10/21/1974,"Travessa de Sales, 37 Jardim América 26138-341 da Luz / PA",56424-819,
38,Augusto,Cunha,cda-cunha@example.net,PF,2021-08-23 12:15:00 UTC,619.284.305-89,7/1/1984,"Residencial de Vieira, 57 Conjunto Serra Verde 85249271 Rocha / MG",81473-142,
55,Sophie,Cunha,oliveiravitor@example.com,PF,2016-11-10 14:25:00 UTC,521.934.708-04,5/16/1970,Passarela de Costela Senhor Dos Passos 66807-828 da Rocha / RJ,19744436,
150,Pedro Lucas,Cunha,jesusjulia@example.com,PF,2021-11-04 11:27:00 UTC,385.417.629-55,4/14/2002,"Distrito de Cardoso, 66 Vila Inestan 46530-625 Costela / ES",74907782,
211,João Miguel,Cunha,davi-lucas04@example.net,PF,2021-03-10 12:41:00 UTC,351.678.904-20,10/30/1942,"Praça de Campos, 98 São Salvador 91131699 Nunes / MT",07845-704,
331,Vitória,Cunha,lopesemanuel@example.com,PF,2012-09-22 16:29:00 UTC,187.024.695-02,1/15/1967,Distrito de Gonçalves Inconfidência 55785823 da Mota de Moura / SP,11168371,
452,Kevin,Cunha,dmonteiro@example.com,PF,2020-07-18 11:22:00 UTC,128.495.703-97,12/27/1954,Travessa de Cardoso Nossa Senhora Da Conceição 41836-383 Dias Alegre / SC,43803139,
587,Mariana,Cunha,maria-eduarda57@example.org,PF,2019-09-06 15:59:00 UTC,903.251.768-68,8/13/1992,Campo Stella Ferreira Novo Ouro Preto 12789-557 Pires / PI,50946020,
649,Clarice,Cunha,brenda34@example.net,PF,2016-04-11 13:35:00 UTC,631.528.049-89,10/2/1958,"Viela Thales Santos, 133 Vila Santa Monica 2ª Seção 08043-756 Almeida Paulista / MT",37183-556,
663,João Pedro,Cunha,carlos-eduardoda-luz@example.org,PF,2020-07-21 14:21:00 UTC,068.235.197-03,6/17/1977,Via Ferreira Vila Dos Anjos 28261187 Castro / RN,3481410,
720,Lara,Cunha,thomasbarbosa@example.com,PF,2021-03-23 10:56:00 UTC,780.629.134-22,12/14/1955,"Setor de Rodrigues, 46 Santa Margarida 46508-985 Campos de Goiás / ES",70396-535,
741,Gustavo,Cunha,correiaemanuelly@example.org,PF,2012-03-03 14:17:00 UTC,237.604.598-38,11/13/1955,Favela Luiz Otávio Santos Tupi B 43588859 Rezende da Mata / SC,77732-400,
780,Thiago,Cunha,carvalhonicolas@example.com,PF,2018-02-05 11:35:00 UTC,352.748.691-73,4/11/1981,"Avenida Gonçalves, 38 Ademar Maldonado 06852555 Ribeiro Alegre / PE",99956563,
866,Brenda,Cunha,qcaldeira@example.net,PF,2019-06-22 13:36:00 UTC,936.475.821-82,7/26/1942,"Esplanada Levi Barbosa, 216 Vila São João Batista 50276-230 Silva / GO",43609-121,
933,Leonardo,Cunha,aragaolorena@example.net,PF,2015-08-12 13:49:00 UTC,739.416.528-00,11/20/2003,"Avenida Cunha, 13 Flavio Marques Lisboa 36827006 Caldeira de Martins / ES",25715953,
941,Otávio,Cunha,carvalhonicole@example.org,PF,2022-05-22 12:02:00 UTC,310.842.695-89,2/7/1963,"Viela Farias, 926 Heliopolis 61000-447 Barros Grande / SE",20775-963,
68,Lorena,Gomes,nrezende@example.net,PF,2019-08-11 11:02:00 UTC,832.607.514-08,10/9/1955,"Rodovia Alexia Costela, 374 Vila Madre Gertrudes 4ª Seção 35410645 Melo / PA",13577256,
79,Milena,Gomes,bsilva@example.com,PF,2022-12-03 10:51:00 UTC,893.726.041-78,2/11/1980,"Alameda Benício Sales, 68 São Sebastião 87879-290 da Rocha da Mata / PA",31297275,
157,Emanuella,Gomes,antoniosilva@example.com,PF,2017-08-20 12:13:00 UTC,659.284.301-24,5/29/2006,Vale Santos Vila Mantiqueira 16535-555 Lopes / MT,45442696,
195,Luiz Fernando,Gomes,vcastro@example.net,PF,2011-03-08 13:26:00 UTC,046.853.129-70,11/28/1967,"Largo de Sales, 95 Lindéia 03767449 Aragão / GO",13895327,
369,João Lucas,Gomes,lribeiro@example.net,PF,2022-10-09 11:31:00 UTC,256.389.041-15,4/29/1965,"Chácara Cunha, 551 Serra 26207-436 Silveira / CE",27315-383,
499,Helena,Gomes,fda-mota@example.org,PF,2022-11-07 11:37:00 UTC,503.742.189-60,1/24/2002,"Loteamento de Vieira, 36 Vila Nossa Senhora Do Rosário 99556-419 da Conceição do Oeste / SP",58899466,
567,Bryan,Gomes,hrezende@example.com,PF,2011-05-16 10:17:00 UTC,619.520.487-02,4/6/1997,"Núcleo de Freitas, 378 Miramar 12606621 Correia / ES",34609558,
609,Larissa,Gomes,ana-laura55@example.org,PF,2017-05-14 15:03:00 UTC,459.208.671-67,1/18/2006,"Lago de Gonçalves, 6 Piratininga 53005555 Moreira Grande / SP",92215-516,
731,Felipe,Gomes,gcostela@example.net,PF,2017-07-21 11:57:00 UTC,971.548.302-04,12/3/1995,"Esplanada Nascimento, 27 Beira Linha 18256-269 Souza do Oeste / MS",85811670,
964,Bianca,Gomes,da-rosamariana@example.com,PF,2021-06-24 14:15:00 UTC,465.891.370-48,8/10/1970,"Núcleo Lima, 184 Garças 64685-353 Gonçalves das Pedras / SP",71253-234,
972,Daniel,Gomes,joao-felipe48@example.net,PF,2010-08-10 15:41:00 UTC,975.286.143-19,10/24/1991,"Lago de Sales, 131 Itatiaia 06318-414 Silveira / AC",42328-349,
73,Milena,Jesus,xvieira@example.com,PF,2012-06-21 14:25:00 UTC,925.037.416-06,9/12/1988,"Parque Araújo, 352 Estoril 11290-320 Pinto da Serra / MA",74802-721,
114,Rodrigo,Jesus,danielapinto@example.com,PF,2022-11-11 11:04:00 UTC,658.910.274-02,3/21/1949,"Esplanada de Lopes, 86 Santa Monica 48561977 da Cunha / RS",84406630,
298,Nicolas,Jesus,ryansantos@example.org,PF,2012-04-21 15:53:00 UTC,509.487.213-32,1/19/2001,"Rodovia Ferreira, 21 Pindura Saia 42451-455 Barros da Serra / CE",04065-364,
327,Maria Alice,Jesus,da-motaluiz-henrique@example.org,PF,2021-10-08 11:35:00 UTC,543.680.712-71,2/26/1951,Pátio Maria Clara Cavalcanti Beira Linha 75846700 Duarte / MS,32770-840,
328,Benjamin,Jesus,davi-luccapinto@example.net,PF,2017-03-04 13:03:00 UTC,659.172.048-02,10/11/1971,"Estação da Cunha, 64 Vila Santo Antônio Barroquinha 42157-327 Teixeira de Farias / RS",10559-302,
523,Gabrielly,Jesus,laurada-mata@example.net,PF,2013-03-18 10:44:00 UTC,490.281.576-11,1/5/1951,"Sítio de Moraes, 68 Nova Granada 53754-205 da Mata de Alves / RO",87182675,
675,Camila,Jesus,barbosamaite@example.com,PF,2019-04-24 13:55:00 UTC,625.481.709-85,8/25/1963,"Esplanada Fernando da Costa, 7 Vila Santo Antônio 24496828 Freitas / PA",96168071,
696,Luiza,Jesus,costarenan@example.com,PF,2021-12-24 13:02:00 UTC,471.685.903-75,6/16/1996,"Favela Ribeiro, 78 Delta 25034-385 Oliveira / AP",23037-823,
822,Bárbara,Jesus,milenada-rocha@example.com,PF,2022-12-16 15:58:00 UTC,602.148.935-70,7/29/1952,Recanto Enzo Gabriel da Luz Vila São Francisco 39509-701 Melo / AM,76706-799,
982,Beatriz,Jesus,fariasluiza@example.com,PF,2019-11-25 11:04:00 UTC,350.467.981-66,9/8/1949,"Vereda de Alves, 96 Palmeiras 95190-216 Freitas / PR",26839-985,
62,Ana Vitória,Lopes,pdias@example.net,PF,2010-12-02 12:14:00 UTC,431.286.957-09,2/18/1957,"Campo João Felipe Nascimento, 2 São Bernardo 72648321 Pires Alegre / MG",56682892,
152,Davi,Lopes,gcosta@example.com,PF,2017-07-01 14:56:00 UTC,104.258.973-97,2/26/2007,"Quadra Pereira, 23 Cardoso 27987-882 Castro / AC",23590-188,
291,Carlos Eduardo,Lopes,otavio24@example.org,PF,2012-02-26 12:34:00 UTC,852.193.064-05,7/6/1991,"Alameda Isabel Silva, 31 Vila Havaí 11364-247 Nunes / DF",68301-753,
350,Isis,Lopes,diogoaraujo@example.com,PF,2018-11-15 15:42:00 UTC,240.968.375-47,1/8/1961,"Lagoa Benjamin Correia, 736 Suzana 65158388 da Costa das Flores / PR",7473442,
427,Gabriel,Lopes,pazevedo@example.com,PF,2019-02-18 14:37:00 UTC,263.140.789-03,12/9/1955,Lago Maria Julia Rodrigues Taquaril 53270892 Lopes Verde / CE,44978329,
439,Isabella,Lopes,igorcampos@example.org,PF,2019-05-18 11:42:00 UTC,570.462.381-62,10/23/1966,"Rodovia de Novaes, 89 Boa Esperança 76062-783 Costa / AM",30513678,
450,Thales,Lopes,uda-mata@example.com,PF,2019-04-01 12:40:00 UTC,503.681.924-15,2/24/1964,"Esplanada Sales, 2 Califórnia 01064869 Melo / SE",88390892,
573,Cecília,Lopes,joao19@example.com,PF,2021-05-11 15:05:00 UTC,149.035.782-32,11/18/1991,"Campo Lucas Costa, 309 Universitário 27503-697 Cardoso de da Rosa / AM",55776517,
604,Gabriela,Lopes,aliciasilva@example.com,PF,2022-03-20 16:32:00 UTC,761.045.329-34,9/1/1986,"Vereda Oliveira, 56 Santa Rita De Cássia 72625-217 Pinto / SC",44743727,
605,Sophia,Lopes,gabrielcampos@example.net,PF,2022-05-02 16:57:00 UTC,518.402.937-05,12/9/1986,"Alameda Almeida, 8 Santa Isabel 62289-773 Freitas dos Dourados / RO",80918276,
670,Marina,Lopes,goncalvesclara@example.com,PF,2022-10-25 14:11:00 UTC,926.153.874-64,3/17/1979,"Aeroporto Fogaça, 6 Outro 84244907 das Neves / PR",21092961,
825,Gustavo Henrique,Lopes,beatriz24@example.net,PF,2022-04-28 14:01:00 UTC,953.672.148-19,3/11/1990,"Rua de Alves, 21 Gameleira 20078768 Viana Paulista / CE",84143888,
864,Benício,Lopes,leandrodias@example.org,PF,2017-04-28 15:30:00 UTC,845.971.236-28,7/3/1998,"Feira de Monteiro, 67 Vila Mangueiras 92992-146 Santos da Praia / SP",29563-668,
99,Heloísa,Moura,manuela79@example.net,PF,2017-10-14 12:58:00 UTC,032.516.987-02,2/18/1945,"Vale de Pinto, 77 Alpes 83294-846 Ramos / RJ",64841594,
388,Heloísa,Moura,novaesluiz-fernando@example.org,PF,2017-02-14 12:43:00 UTC,340.875.619-84,5/14/1944,"Praça Yuri Martins, 52 Itapoa 48374113 Azevedo / AM",06447-430,
431,João,Moura,da-matabreno@example.org,PF,2013-11-20 11:12:00 UTC,415.702.836-80,7/6/1994,Viela Giovanna Cardoso Castanheira 31235258 Ferreira / TO,20931894,
501,Evelyn,Moura,heitorgoncalves@example.org,PF,2018-06-20 14:51:00 UTC,501.986.743-84,5/4/2005,"Campo Maria Eduarda Peixoto, 536 Europa 43797481 da Mata do Galho / SP",29074-901,
556,Melissa,Moura,da-luzlorena@example.org,PF,2020-06-08 14:51:00 UTC,950.863.724-29,3/27/1947,"Distrito Gabriel Cavalcanti, 48 Ouro Preto 68992416 Monteiro do Norte / BA",42839110,
575,Bruno,Moura,theo66@example.com,PF,2015-07-27 11:15:00 UTC,619.478.203-03,10/26/2001,"Travessa Ferreira, 96 Jatobá 98474439 Ferreira / TO",39617502,
653,Maria Clara,Moura,ryan75@example.com,PF,2016-06-16 14:20:00 UTC,792.361.480-69,4/3/1985,Praia de Barbosa Bela Vitoria 48748186 Pereira do Oeste / SC,43287847,
706,Juan,Moura,maria-fernanda15@example.org,PF,2019-01-10 15:36:00 UTC,754.391.820-04,4/24/2000,"Jardim Caroline Teixeira, 46 Goiania 56851205 da Mata / MA",91580-802,
796,Benício,Moura,emillyfogaca@example.org,PF,2019-11-08 15:59:00 UTC,748.206.193-22,4/26/1947,"Passarela Mendes, 34 Lajedo 43858130 Porto / RS",39582-953,
946,Brenda,Moura,levi65@example.org,PF,2016-03-05 10:07:00 UTC,284.179.053-32,2/19/1977,"Feira de da Cruz, 282 Esplanada 65178537 Alves do Norte / TO",48090-423,
990,Igor,Moura,duartesabrina@example.net,PF,2020-01-23 16:28:00 UTC,372.954.608-29,10/22/1993,"Lago Novaes, 24 Boa União 1ª Seção 74015-731 Cardoso de Moura / MS",92666276,
57,Luna,Nunes,gustavo12@example.org,PF,2017-05-04 16:51:00 UTC,618.429.573-09,9/2/1969,"Vale de Rezende, 953 Ápia 55803-917 Moura / PA",80881095,
254,Ana Carolina,Nunes,mcostela@example.net,PF,2012-10-24 13:48:00 UTC,612.835.409-24,12/22/1952,"Recanto de da Luz, 9 Santa Sofia 78694-248 Nogueira do Sul / MA",98430781,
303,Emilly,Nunes,antoniocavalcanti@example.org,PF,2017-04-11 13:13:00 UTC,310.924.875-14,11/3/1982,"Trevo Gabriela Porto, 67 Colégio Batista 35807-329 Castro da Prata / AL",14585816,
457,Camila,Nunes,pietra44@example.com,PF,2017-04-14 11:13:00 UTC,391.540.862-05,4/30/1979,"Estação Azevedo, 75 Vila Da Luz 40014970 Cardoso / CE",47534-613,
515,Ana Laura,Nunes,martinsdiego@example.com,PF,2014-04-17 15:32:00 UTC,457.206.891-76,7/10/2000,"Residencial Kamilly Lima, 49 São José 32763-452 Costela / AL",81853963,
616,Lucca,Nunes,fernandateixeira@example.org,PF,2017-08-04 10:47:00 UTC,218.695.730-21,7/18/1969,"Lagoa de Pereira, 76 Xangri-Lá 73656217 Martins dos Dourados / AP",06759-880,
638,Ana Carolina,Nunes,maria-sophia30@example.org,PF,2018-07-05 11:41:00 UTC,372.598.104-32,1/21/1979,"Via Santos, 76 Mantiqueira 45911-781 Campos do Galho / RS",93769-315,
717,Renan,Nunes,gpeixoto@example.net,PF,2015-02-21 12:48:00 UTC,349.281.567-73,9/19/1973,Jardim de da Rocha Conjunto Capitão Eduardo 14991503 Castro / RR,06635-669,
836,Emanuelly,Nunes,vitor-gabriel68@example.com,PF,2022-08-23 11:20:00 UTC,752.986.041-02,12/1/1949,"Trecho de Barros, 13 Frei Leopoldo 70568448 da Costa / TO",30163-306,
871,Lucca,Nunes,alice24@example.org,PF,2022-08-22 14:00:00 UTC,159.034.268-24,8/19/1984,"Núcleo Guilherme Porto, 2 Varzea Da Palma 25918-822 Rodrigues / AP",05487-000,
879,Anthony,Nunes,barbarajesus@example.org,PF,2013-07-12 10:44:00 UTC,291.463.850-70,8/3/1962,Praça de Alves Santo André 10331-058 Costa / DF,15103-868,
917,Theo,Nunes,diogofernandes@example.net,PF,2016-05-18 11:07:00 UTC,702.418.965-76,12/13/1947,"Distrito de da Luz, 88 Cabana Do Pai Tomás 27391181 da Rosa / MS",15799-330,
42,Alexandre,Pinto,vitor-hugobarbosa@example.net,PF,2013-04-12 12:10:00 UTC,058.623.179-02,6/9/1959,"Ladeira Araújo, 39 Minaslandia 95368818 Ribeiro / AM",72785-264,
117,Igor,Pinto,noahteixeira@example.net,PF,2022-06-22 10:15:00 UTC,039.452.618-05,4/18/1961,"Campo Pires, 311 Conjunto Jatoba 63845-548 Silveira / SE",61967117,
261,Maria Luiza,Pinto,maria-luiza75@example.net,PF,2015-09-20 12:35:00 UTC,580.469.173-20,12/30/1953,"Avenida Nunes, 47 Vila Ipiranga 66706366 Rodrigues / ES",11151018,
266,Nicolas,Pinto,danielribeiro@example.net,PF,2016-09-15 11:01:00 UTC,472.185.936-82,10/6/1994,"Passarela de da Costa, 11 Betânia 12740926 Cardoso / TO",49973-191,
292,Agatha,Pinto,carvalhovinicius@example.net,PF,2015-10-10 12:03:00 UTC,835.916.047-39,4/23/1985,"Feira Elisa da Costa, 716  Jonas Veiga 78834-553 Moraes / RN",14310685,
383,Calebe,Pinto,danielada-paz@example.org,PF,2017-01-24 13:00:00 UTC,930.854.627-83,1/9/1956,"Condomínio de Moura, 56 São Gonçalo 00106888 Gonçalves / RS",93285-302,
396,Maria,Pinto,luiz-felipeduarte@example.com,PF,2021-09-24 11:11:00 UTC,172.863.049-50,9/3/1972,"Rodovia Sales, 1 Solimoes 57858-848 Lopes / PI",39842-347,
580,Cecília,Pinto,rafaelnunes@example.net,PF,2014-05-04 13:13:00 UTC,502.837.146-62,5/11/1946,Travessa de Dias Guarani 97610874 Rocha / ES,35366-296,
719,Daniel,Pinto,gabrielcunha@example.com,PF,2016-08-16 13:16:00 UTC,837.162.059-40,5/23/2001,"Chácara de Ribeiro, 38 Funcionários 23426864 da Cruz de Melo / RJ",65540-758,
805,Lara,Pinto,brunanunes@example.net,PF,2011-05-08 14:35:00 UTC,231.608.745-08,6/30/1953,Loteamento Augusto Cardoso Bom Jesus 80633-996 Rezende do Campo / SE,37512880,
